date,num_uploads
2018-01-01,0
2018-01-02,2
2018-01-03,5
2018-01-04,10
2018-01-05,20
2018-01-06,8
2018-01-07,3
2018-01-08,13
2018-01-09,3
2018-01-10,20
2018-01-11,4
2018-01-12,29
2018-01-13,0
2018-01-14,0
2018-01-15,2
2018-01-16,21
2018-01-17,4
2018-01-18,7
2018-01-19,41
2018-01-20,16
2018-01-21,14
2018-01-22,18
2018-01-23,21
2018-01-24,44
2018-01-25,31
2018-01-26,12
2018-01-27,9
2018-01-28,1
2018-01-29,5
2018-01-30,25
2018-01-31,20
2018-02-01,15
2018-02-02,26
2018-02-03,5
2018-02-04,4
2018-02-05,7
2018-02-06,11
2018-02-07,41
2018-02-08,37
2018-02-09,22
2018-02-10,1
2018-02-11,13
2018-02-12,22
2018-02-13,21
2018-02-14,21
2018-02-15,15
2018-02-16,17
2018-02-17,4
2018-02-18,4
2018-02-19,12
2018-02-20,18
2018-02-21,26
2018-02-22,50
2018-02-23,17
2018-02-24,17
2018-02-25,8
2018-02-26,13
2018-02-27,24
2018-02-28,23
2018-03-01,15
2018-03-02,7
2018-03-03,6
2018-03-04,0
2018-03-05,26
2018-03-06,31
2018-03-07,28
2018-03-08,87
2018-03-09,43
2018-03-10,18
2018-03-11,0
2018-03-12,17
2018-03-13,5
2018-03-14,15
2018-03-15,20
2018-03-16,18
2018-03-17,0
2018-03-18,1
2018-03-19,15
2018-03-20,19
2018-03-21,22
2018-03-22,21
2018-03-23,35
2018-03-24,0
2018-03-25,21
2018-03-26,8
2018-03-27,4
2018-03-28,10
2018-03-29,14
2018-03-30,29
2018-03-31,9
2018-04-01,2
2018-04-02,2
2018-04-03,49
2018-04-04,32
2018-04-05,6
2018-04-06,22
2018-04-07,6
2018-04-08,0
2018-04-09,17
2018-04-10,18
2018-04-11,21
2018-04-12,38
2018-04-13,20
2018-04-14,6
2018-04-15,2
2018-04-16,40
2018-04-17,31
2018-04-18,19
2018-04-19,11
2018-04-20,26
2018-04-21,4
2018-04-22,6
2018-04-23,34
2018-04-24,27
2018-04-25,55
2018-04-26,38
2018-04-27,32
2018-04-28,14
2018-04-29,10
2018-04-30,24
2018-05-01,43
2018-05-02,24
2018-05-03,19
2018-05-04,32
2018-05-05,15
2018-05-06,7
2018-05-07,9
2018-05-08,36
2018-05-09,55
2018-05-10,21
2018-05-11,42
2018-05-12,9
2018-05-13,1
2018-05-14,68
2018-05-15,38
2018-05-16,43
2018-05-17,12
2018-05-18,15
2018-05-19,4
2018-05-20,4
2018-05-21,6
2018-05-22,15
2018-05-23,7
2018-05-24,6
2018-05-25,1
2018-05-26,0
2018-05-27,2
2018-05-28,16
2018-05-29,9
2018-05-30,14
2018-05-31,6
2018-06-01,17
2018-06-02,0
2018-06-03,0
2018-06-04,13
2018-06-05,25
2018-06-06,20
2018-06-07,23
2018-06-08,14
2018-06-09,0
2018-06-10,0
2018-06-11,7
2018-06-12,49
2018-06-13,16
2018-06-14,13
2018-06-15,49
2018-06-16,1
2018-06-17,0
2018-06-18,25
2018-06-19,8
2018-06-20,12
2018-06-21,9
2018-06-22,5
2018-06-23,1
2018-06-24,0
2018-06-25,28
2018-06-26,21
2018-06-27,25
2018-06-28,34
2018-06-29,25
2018-06-30,12
2018-07-01,0
2018-07-02,26
2018-07-03,32
2018-07-04,17
2018-07-05,22
2018-07-06,23
2018-07-07,15
2018-07-08,0
2018-07-09,10
2018-07-10,40
2018-07-11,79
2018-07-12,32
2018-07-13,22
2018-07-14,0
2018-07-15,1
2018-07-16,62
2018-07-17,30
2018-07-18,21
2018-07-19,57
2018-07-20,22
2018-07-21,7
2018-07-22,6
2018-07-23,11
2018-07-24,16
2018-07-25,13
2018-07-26,13
2018-07-27,11
2018-07-28,2
2018-07-29,6
2018-07-30,28
2018-07-31,16
2018-08-01,24
2018-08-02,13
2018-08-03,24
2018-08-04,5
2018-08-05,4
2018-08-06,41
2018-08-07,20
2018-08-08,15
2018-08-09,26
2018-08-10,32
2018-08-11,17
2018-08-12,14
2018-08-13,27
2018-08-14,36
2018-08-15,39
2018-08-16,27
2018-08-17,23
2018-08-18,5
2018-08-19,6
2018-08-20,42
2018-08-21,30
2018-08-22,14
2018-08-23,11
2018-08-24,3
2018-08-25,3
2018-08-26,1
2018-08-27,20
2018-08-28,54
2018-08-29,116
2018-08-30,151
2018-08-31,35
2018-09-01,14
2018-09-02,17
2018-09-03,22
2018-09-04,48
2018-09-05,47
2018-09-06,88
2018-09-07,35
2018-09-08,11
2018-09-09,9
2018-09-10,16
2018-09-11,83
2018-09-12,16
2018-09-13,10
2018-09-14,21
2018-09-15,12
2018-09-16,22
2018-09-17,15
2018-09-18,21
2018-09-19,24
2018-09-20,66
2018-09-21,25
2018-09-22,1
2018-09-23,18
2018-09-24,35
2018-09-25,33
2018-09-26,30
2018-09-27,28
2018-09-28,62
2018-09-29,0
2018-09-30,0
2018-10-01,38
2018-10-02,26
2018-10-03,86
2018-10-04,76
2018-10-05,36
2018-10-06,1
2018-10-07,1
2018-10-08,7
2018-10-09,28
2018-10-10,64
2018-10-11,40
2018-10-12,21
2018-10-13,0
2018-10-14,2
2018-10-15,16
2018-10-16,40
2018-10-17,12
2018-10-18,127
2018-10-19,104
